Id	Description	Qty	Unit	Designators
1	Cable, 2 wires	0	m	Harness 4 - COTS Solar Panel PWR
2	Connector, Picoblade, 2 pins	1		COTS Solar Panel PWR
3	Connector, Picolock, 8 pins	1		EPS - J11_CH0, J11_CH1, J11_CH2, J303
