Id	Description	Qty	Unit	Designators
1	Cable, 7 wires	0	m	Harness 5 - EPS - PBP - 2
2	Cable, 8 wires	0	m	Harness 5 - EPS - PBP - 1
3	Connector, Microlock, 15 pins	1		EPS - J2
4	Connector, TBD, 7 pins	1		EPS - PBP - 2
5	Connector, TBD, 8 pins	1		EPS - PBP - 1
