Id	Description	Qty	Unit	Designators
1	Cable, 6 wires	0	m	Harness 52 - Programmer Connector
2	Connector, 2.54mm Header, 6 pins	1		ST-LINK
3	Connector, Picoblade, 6 pins	1		OBC - J11
