Id	Description	Qty	Unit	Designators
1	Cable, 4 wires	0	m	Harness 15 - EPS UART
2	Connector, Microlock, 15 pins	1		EPS - J9 Umbilical 2
3	Connector, Picoblade, 4 pins	1		OBC - J14
