Id	Description	Qty	Unit	Designators
1	Cable, 10 wires	0	m	Harness 8 - MPI Connector
2	Connector, 2.54mm Header, 10 pins	1		MPI Connector
3	Connector, Picoblade, 10 pins	1		OBC - J10
